country,year,urban_pct
Ukraine,2026,69.5315643200148
United Arab Emirates,2020,85.1955255681984
United Arab Emirates,2021,85.3571908511355
United Arab Emirates,2022,85.5147347682487
United Arab Emirates,2023,85.6680699002526
United Arab Emirates,2024,85.8171088279791
United Arab Emirates,2025,85.8171088279791
United Arab Emirates,2026,85.8171088279791
United Kingdom,2020,82.9000015258789
United Kingdom,2021,82.9886431523641
United Kingdom,2022,83.0753982997505
United Kingdom,2023,83.1601932891335
United Kingdom,2024,83.2429544416085
United Kingdom,2025,83.2429544416085
United Kingdom,2026,83.2429544416085
United States,2020,79.997451762548
United States,2021,80.0074765140272
United States,2022,80.0324978239707
United States,2023,80.071561119178
United States,2024,80.1247798047184
United States,2025,80.1247798047184
United States,2026,80.1247798047184
Uruguay,2020,95.3997650146484
Uruguay,2021,95.4497146606445
Uruguay,2022,95.4977416992188
Uruguay,2023,95.5439605712891
Uruguay,2024,95.5981951588181
Uruguay,2025,95.5981951588181
Uruguay,2026,95.5981951588181
Uzbekistan,2020,50.7670402526855
Uzbekistan,2021,50.9269905090332
Uzbekistan,2022,50.9847412109375
Uzbekistan,2023,50.9964841114568
Uzbekistan,2024,50.9986686706543
Uzbekistan,2025,50.9986686706543
Uzbekistan,2026,50.9986686706543
Venezuela,2020,89.1399056567545
Venezuela,2021,89.1766444746891
Venezuela,2022,89.2132204732836
Venezuela,2023,89.249627620225
Venezuela,2024,89.285859883201
Venezuela,2025,89.285859883201
Venezuela,2026,89.285859883201
Yemen,2020,35.7025604580302
Yemen,2021,36.0704951256305
Yemen,2022,36.3226310308295
Yemen,2023,36.5707979836506
Yemen,2024,36.8077517596594
Yemen,2025,36.8077517596594
Yemen,2026,36.8077517596594
Zimbabwe,2020,37.0097671560802
Zimbabwe,2021,37.8692058859373
Zimbabwe,2022,38.7055207169041
Zimbabwe,2023,39.2919370795795
Zimbabwe,2024,39.8933716820696
Zimbabwe,2025,39.8933716820696
Zimbabwe,2026,39.8933716820696
