country,year,age_group,pop_male,pop_female,pop_total
Austria,2022,35-44,613.963,602.677,1216.641
Austria,2022,45-54,632.57,638.921,1271.493
Austria,2022,55-64,662.409,672.29,1334.696
Austria,2022,65-74,427.292,485.156,912.447
Austria,2022,75-84,275.381,367.071,642.452
Austria,2022,85+,80.758,158.222,238.979
Austria,2023,18-24,336.432,318.174,654.607
Austria,2023,25-34,618.998,591.943,1210.944
Austria,2023,35-44,625.667,612.683,1238.35
Austria,2023,45-54,621.349,628.527,1249.876
Austria,2023,55-64,680.005,688.883,1368.887
Austria,2023,65-74,439.778,496.587,936.362
Austria,2023,75-84,285.112,379.604,664.718
Austria,2023,85+,81.632,158.354,239.984
Austria,2024,18-24,331.644,314.754,646.398
Austria,2024,25-34,606.001,578.147,1184.149
Austria,2024,35-44,631.083,617.038,1248.12
Austria,2024,45-54,606.497,613.178,1219.678
Austria,2024,55-64,688.671,697.381,1386.053
Austria,2024,65-74,451.916,507.267,959.181
Austria,2024,75-84,287.097,381.211,668.308
Austria,2024,85+,87.432,164.553,251.982
Austria,2025,18-24,331.216,315.475,646.692
Austria,2025,25-34,590.488,561.83,1152.323
Austria,2025,35-44,633.526,618.843,1252.369
Austria,2025,45-54,597.013,602.079,1199.094
Austria,2025,55-64,691.093,700.768,1391.857
Austria,2025,65-74,467.198,521.278,988.477
Austria,2025,75-84,284.342,375.736,660.075
Austria,2025,85+,97.32,176.615,273.93
Austria,2026,18-24,332.899,317.552,650.447
Austria,2026,25-34,573.263,544.633,1117.891
Austria,2026,35-44,634.367,618.029,1252.396
Austria,2026,45-54,592.843,596.364,1189.206
Austria,2026,55-64,688.153,699.209,1387.362
Austria,2026,65-74,485.51,538.284,1023.796
Austria,2026,75-84,281.908,370.671,652.579
Austria,2026,85+,105.917,187.458,293.374
Azerbaijan,2020,18-24,486.137,477.911,964.047
Azerbaijan,2020,25-34,907.286,962.256,1869.542
Azerbaijan,2020,35-44,733.272,758.346,1491.621
Azerbaijan,2020,45-54,582.583,653.495,1236.076
Azerbaijan,2020,55-64,519.274,615.337,1134.613
Azerbaijan,2020,65-74,209.093,271.04,480.135
Azerbaijan,2020,75-84,62.577,115.02,177.6
Azerbaijan,2020,85+,13.73,29.388,43.116
Azerbaijan,2021,18-24,472.827,454.727,927.558
Azerbaijan,2021,25-34,895.411,951.352,1846.762
Azerbaijan,2021,35-44,758.441,784.696,1543.137
Azerbaijan,2021,45-54,581.125,648.046,1229.171
Azerbaijan,2021,55-64,530.551,630.793,1161.345
Azerbaijan,2021,65-74,226.578,295.375,521.95
Azerbaijan,2021,75-84,57.788,106.934,164.721
Azerbaijan,2021,85+,13.955,30.797,44.748
Azerbaijan,2022,18-24,470.604,443.04,913.645
Azerbaijan,2022,25-34,878.548,932.662,1811.211
Azerbaijan,2022,35-44,784.091,812.02,1596.11
Azerbaijan,2022,45-54,583.334,645.631,1228.964
Azerbaijan,2022,55-64,537.808,641.362,1179.167
Azerbaijan,2022,65-74,245.016,319.743,564.761
Azerbaijan,2022,75-84,57.481,104.32,161.801
Azerbaijan,2022,85+,15.024,33.299,48.319
Azerbaijan,2023,18-24,476.432,440.606,917.036
Azerbaijan,2023,25-34,852.327,901.834,1754.165
Azerbaijan,2023,35-44,806.3,836.916,1643.213
Azerbaijan,2023,45-54,585.223,641.893,1227.118
Azerbaijan,2023,55-64,541.424,647.613,1189.039
Azerbaijan,2023,65-74,264.294,344.586,608.88
Azerbaijan,2023,75-84,59.991,105.197,165.188
Azerbaijan,2023,85+,16.229,36.253,52.48
Azerbaijan,2024,18-24,488.43,445.803,934.232
Azerbaijan,2024,25-34,820.906,863.574,1684.479
Azerbaijan,2024,35-44,826.13,860.982,1687.112
Azerbaijan,2024,45-54,589.926,641.033,1230.96
Azerbaijan,2024,55-64,541.922,649.704,1191.629
Azerbaijan,2024,65-74,285.455,372.555,658.01
Azerbaijan,2024,75-84,63.615,108.03,171.645
Azerbaijan,2024,85+,16.629,38.096,54.719
Azerbaijan,2025,18-24,507.011,458.461,965.471
Azerbaijan,2025,25-34,789.667,823.677,1613.342
Azerbaijan,2025,35-44,845.788,885.864,1731.651
Azerbaijan,2025,45-54,600.696,647.741,1248.437
Azerbaijan,2025,55-64,541.326,649.595,1190.92
Azerbaijan,2025,65-74,309.371,403.962,713.335
Azerbaijan,2025,75-84,69.603,114.149,183.753
Azerbaijan,2025,85+,16.94,39.279,56.214
Azerbaijan,2026,18-24,530.216,476.988,1007.204
Azerbaijan,2026,25-34,758.466,782.3,1540.767
Azerbaijan,2026,35-44,861.332,906.949,1768.283
Azerbaijan,2026,45-54,614.505,658.595,1273.102
Azerbaijan,2026,55-64,538.588,646.047,1184.632
Azerbaijan,2026,65-74,332.336,434.483,766.816
Azerbaijan,2026,75-84,76.775,122.259,199.032
Azerbaijan,2026,85+,16.903,39.637,56.536
Bangladesh,2020,18-24,10573.12,11885.19,22458.312
Bangladesh,2020,25-34,12778.124,14182.307,26960.432
Bangladesh,2020,35-44,10641.283,11256.531,21897.815
Bangladesh,2020,45-54,7553.984,7881.198,15435.184
Bangladesh,2020,55-64,5554.734,5290.385,10845.118
Bangladesh,2020,65-74,3215.635,3248.505,6464.137
Bangladesh,2020,75-84,1273.267,1451.029,2724.297
Bangladesh,2020,85+,202.656,312.627,515.279
Bangladesh,2021,18-24,10403.513,12046.416,22449.933
Bangladesh,2021,25-34,12708.227,14451.845,27160.073
Bangladesh,2021,35-44,11041.875,11490.546,22532.421
Bangladesh,2021,45-54,7681.14,7849.231,15530.372
Bangladesh,2021,55-64,5612.672,5236.22,10848.889
Bangladesh,2021,65-74,3313.819,3318.813,6632.632
Bangladesh,2021,75-84,1321.999,1507.838,2829.838
Bangladesh,2021,85+,218.57,334.59,553.161
Bangladesh,2022,18-24,10408.007,12111.185,22519.192
Bangladesh,2022,25-34,12694.071,14749.71,27443.776
Bangladesh,2022,35-44,11330.626,11825.435,23156.06
Bangladesh,2022,45-54,7841.349,7919.44,15760.787
Bangladesh,2022,55-64,5695.178,5300.967,10996.144
Bangladesh,2022,65-74,3432.9,3395.788,6828.688
Bangladesh,2022,75-84,1385.204,1577.719,2962.92
Bangladesh,2022,85+,238.144,362.275,600.42
Bangladesh,2023,18-24,10608.564,12107.132,22715.695
Bangladesh,2023,25-34,12769.322,15059.48,27828.801
Bangladesh,2023,35-44,11478.532,12193.692,23672.223
Bangladesh,2023,45-54,8040.101,8113.888,16153.989
Bangladesh,2023,55-64,5812.557,5491.141,11303.699
Bangladesh,2023,65-74,3576.22,3496.887,7073.108
Bangladesh,2023,75-84,1453.55,1654.569,3108.115
Bangladesh,2023,85+,261.307,395.126,656.43
Bangladesh,2024,18-24,10853.699,12080.638,22934.34
Bangladesh,2024,25-34,12879.665,15390.5,28270.164
Bangladesh,2024,35-44,11571.046,12500.033,24071.079
Bangladesh,2024,45-54,8267.735,8315.333,16583.069
Bangladesh,2024,55-64,5929.164,5688.392,11617.558
Bangladesh,2024,65-74,3725.45,3609.198,7334.65
Bangladesh,2024,75-84,1510.242,1724.163,3234.405
Bangladesh,2024,85+,283.366,426.468,709.832
Bangladesh,2025,18-24,11121.325,12022.54,23143.867
